date,Score 1,Score 2,Score 3,Score 4,Score 5,Overall,Data
12/27/2018,53.52303523,55.46560949,25.51679587,60.10409376,95.41062802,58.00403247,Humidity
12/28/2018,55.55555556,54.38959711,26.48578811,60.10409376,99.03381643,59.11377019,Humidity
12/29/2018,53.52303523,55.46560949,25.51679587,60.10409376,95.41062802,58.00403247,Humidity
12/30/2018,54.75948509,52.2368596,26.10626615,60.10409376,97.6147343,58.16428778,Humidity
12/31/2018,55.92818428,55.42894466,26.66343669,60.10409376,99.69806763,59.5645454,Humidity
12/1/2018,70.32520325,68.23976409,33.52713178,56.08381936,99.42528736,65.52024117,Pressure
12/2/2018,77.33739837,75.50419176,36.87015504,58.28635297,99.08854167,69.41732796,Pressure
12/3/2018,70.0203252,75.5993317,33.38178295,56.08381936,89.71354167,64.95976017,Pressure
12/4/2018,64.53252033,64.49298301,30.76550388,54.82071805,94.49404762,61.82115458,Pressure
12/5/2018,70.00338753,67.65232719,33.37370801,58.5982996,98.97030651,65.71960577,Pressure
12/6/2018,65.75203252,66.97291226,31.34689922,56.5333863,89.86111111,62.09326828,Pressure
12/7/2018,71.6802168,68.70676462,34.17312661,58.73955687,97.96296296,66.25252557,Pressure
12/8/2018,68.59756098,67.11781635,32.70348837,57.80915014,93.75,63.99560317,Pressure
12/9/2018,68.12330623,63.97872385,32.47739018,57.78840219,96.31226054,63.7360166,Pressure
12/10/2018,65.49796748,66.49788779,31.22577519,58.28635297,89.51388889,62.20437446,Pressure
12/11/2018,72.62872629,70.81745043,34.625323,58.86669682,99.25925926,67.23949116,Pressure
12/12/2018,71.15514905,68.35576535,33.92280362,57.67187126,97.24537037,65.67019193,Pressure
12/13/2018,70.07113821,70.86915278,33.40600775,59.07152405,95.76388889,65.83634234,Pressure
12/14/2018,72.71341463,71.27487724,34.66569767,59.07152405,99.375,67.42010272,Pressure
12/15/2018,72.6795393,71.20154758,34.6495478,59.07152405,99.3287037,67.38617249,Pressure
12/16/2018,73.32317073,73.6772368,34.95639535,59.07152405,96.97580645,67.60082668,Pressure
12/17/2018,74.7798103,72.67455408,35.65083979,58.28635297,98.90232975,68.05877738,Pressure
12/18/2018,74.74593496,72.60122443,35.63468992,58.28635297,98.85752688,68.02514583,Pressure
12/19/2018,74.74593496,72.6101479,35.63468992,58.2522151,98.85752688,68.02010295,Pressure
12/20/2018,74.66124661,72.07084415,35.59431525,58.76030482,98.74551971,67.96644611,Pressure
12/21/2018,74.83062331,72.41500543,35.6750646,58.90554046,98.96953405,68.15915357,Pressure
12/22/2018,75.15243902,73.71390163,35.82848837,59.07152405,99.39516129,68.63230287,Pressure
12/23/2018,74.74593496,72.6101479,35.63468992,58.2522151,98.85752688,68.02010295,Pressure
12/24/2018,74.50880759,71.9382323,35.52164083,58.57357327,98.54390681,67.81723216,Pressure
12/25/2018,75.25406504,73.96659095,35.87693798,59.07152405,99.52956989,68.73973758,Pressure
12/26/2018,74.00067751,70.53145281,35.27939276,57.80915014,97.8718638,67.0985074,Pressure
12/27/2018,75.15243902,73.71390163,35.82848837,59.07152405,99.39516129,68.63230287,Pressure
12/28/2018,74.74593496,72.60122443,35.63468992,58.28635297,98.85752688,68.02514583,Pressure
12/29/2018,75.13550136,73.6772368,35.82041344,59.07152405,99.37275986,68.6154871,Pressure
12/30/2018,73.9498645,70.44848691,35.25516796,57.75426432,97.8046595,67.04248864,Pressure
12/31/2018,75.11856369,73.64057197,35.8123385,59.07152405,99.35035842,68.59867133,Pressure
12/1/2018,19.13580247,30.45444322,2.136089578,4.957182932,57.40740741,22.81818512,PM25
12/2/2018,20.52469136,15.81448407,2.147932817,1.535990069,92.36111111,26.47684188,PM25
12/3/2018,21.52777778,19.34333211,2.252906977,1.744259909,96.875,28.34865535,PM25
12/4/2018,12.80864198,19.34333211,1.398719245,0.342049007,57.63888889,18.30632624,PM25
12/5/2018,13.27160494,19.17630344,1.398601399,0.332345489,59.72222222,18.7802155,PM25
12/6/2018,13.27160494,19.34333211,1.388888889,0.325421625,59.72222222,18.81029396,PM25
12/7/2018,10.41666667,8.232220997,1.162790698,0,93.75,22.71233567,PM25
12/8/2018,10.33950617,8.065192331,1.162790698,0,93.05555556,22.52460895,PM25
12/9/2018,10.41666667,8.232220997,1.162790698,0,93.75,22.71233567,PM25
12/10/2018,10.33950617,8.065192331,1.162790698,0,93.05555556,22.52460895,PM25
12/11/2018,10.41666667,8.232220997,1.162790698,0,93.75,22.71233567,PM25
12/12/2018,10.41666667,8.232220997,1.162790698,0,93.75,22.71233567,PM25
12/13/2018,10.33950617,8.065192331,1.162790698,0,93.05555556,22.52460895,PM25
12/14/2018,10.57098765,19.34333211,1.180017227,0.013988273,47.56944444,15.73555394,PM25
12/15/2018,15.74074074,19.17630344,1.670488045,0.797629174,70.83333333,21.64369895,PM25
12/16/2018,18.28703704,12.1885687,1.91375969,1.119450389,82.29166667,23.1600965,PM25
12/17/2018,13.34876543,19.34333211,1.490094746,0.461613003,60.06944444,18.94264995,PM25
12/18/2018,10.26234568,11.11111111,1.162790698,0,92.36111111,22.97947172,PM25
12/19/2018,10.33950617,11.11111111,1.162790698,0,93.05555556,23.13379271,PM25
12/20/2018,13.42592593,19.34333211,1.40503876,0.36447222,60.41666667,18.99108714,PM25
12/21/2018,23.61111111,27.96250105,2.470930233,2.972665533,70.83333333,25.57010825,PM25
12/22/2018,14.19753086,22.22222222,1.596667824,0.601495731,63.88888889,20.50136111,PM25
12/23/2018,16.04938272,11.43023237,1.804928844,0.979179098,72.22222222,20.49718905,PM25
12/24/2018,10.64814815,11.11111111,1.162790698,0,95.83333333,23.75107666,PM25
12/25/2018,10.72530864,11.11111111,1.162790698,0,96.52777778,23.90539765,PM25
12/26/2018,10.33950617,11.11111111,1.162790698,0,93.05555556,23.13379271,PM25
12/27/2018,16.2037037,33.33333333,1.822283929,1.793160167,48.61111111,20.35271845,PM25
12/28/2018,17.12962963,10.28176543,1.792635659,0.937214279,77.08333333,21.44491567,PM25
12/29/2018,17.4382716,42.42025519,1.824935401,1.005151089,31.38888889,18.81550043,PM25
12/30/2018,11.1882716,33.33333333,1.258243665,0.116494933,33.56481481,15.89223167,PM25
12/31/2018,10.87962963,22.22222222,1.232732995,0.098654135,48.95833333,16.67831446,PM25
12/1/2018,69.38657407,64.58220092,19.36369509,55.76205013,92.5154321,60.32199046,CO
12/2/2018,63.8599537,60.00868102,17.82138243,52.12221157,85.14660494,55.79176673,CO
12/3/2018,71.15162037,63.67698327,19.85626615,57.39864398,94.86882716,61.39046819,CO
12/4/2018,65.45138889,66.75771126,18.26550388,58.41370094,92.40196078,60.25805315,CO
12/5/2018,69.79166667,67.08176547,19.47674419,59.01748207,98.52941176,62.77941403,CO
12/6/2018,65.59606481,71.0989823,18.30587855,58.98416514,87.46141975,60.28930211,CO
12/7/2018,74.13194444,71.57573149,20.6879845,59.74325349,98.84259259,64.9963013,CO
12/8/2018,73.49537037,69.78182387,20.51033592,59.58860767,97.99382716,64.273993,CO
12/9/2018,70.02314815,67.53194621,19.54134367,59.7690278,98.85620915,63.14433499,CO
12/10/2018,65.85648148,67.46931046,18.37855297,59.84632479,92.97385621,60.90490518,CO
12/11/2018,69.76273148,66.54163146,19.46866925,59.40613949,98.48856209,62.73354676,CO
12/12/2018,67.04282407,59.0044331,18.70962532,55.28451096,94.64869281,58.93801725,CO
12/13/2018,69.21296296,66.88705715,19.31524548,56.72970919,92.28395062,60.88578508,CO
12/14/2018,66.55092593,61.63772581,18.57235142,54.87327002,88.7345679,58.07376822,CO
12/15/2018,65.79861111,55.91207966,18.3624031,52.29076447,87.73148148,56.01906797,CO
12/16/2018,68.69212963,57.69018086,19.16989664,56.18727991,86.76900585,57.70169858,CO
12/17/2018,73.81365741,65.30000838,20.59916021,55.73756547,93.23830409,61.73773911,CO
12/18/2018,78.84837963,71.24900375,22.00419897,58.73567674,94.61805556,65.09106293,CO
